編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
1,一毛不拔,ㄧ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ　（變）　ㄧˋ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ,形容人非常吝嗇。貶義。,視錢如命、愛財如命、鐵公雞,一擲千金、仗義疏財、解囊相助、慷慨解囊,一毫不拔,主條成語
2,掩耳盜鈴,ㄧㄢˇ　ㄦˇ　ㄉㄠˋ　ㄌㄧㄥˊ,比喻妄想瞞騙他人，結果卻只是欺騙自己而已。貶義。,自欺欺人、掩目捕雀、掩鼻偷香,,塞耳偷鈴、塞耳盜鐘、掩耳偷鈴、掩耳盜鐘、盜鐘掩耳、竊鈴掩耳、竊鐘掩耳,主條成語
3,一丘之貉,ㄧ　ㄑㄧㄡ　ㄓ　ㄏㄜˊ　（變）　ㄧˋ　ㄑㄧㄡ　ㄓ　ㄏㄜˊ,比喻彼此同樣低劣，並無差異。貶義。,,,一邱貉、貉一丘,主條成語
4,囫圇吞棗,ㄏㄨˊ　ㄌㄨㄣˊ　ㄊㄨㄣ　ㄗㄠˇ,比喻理解事物籠統含糊，或為學不求甚解。貶義。,不求甚解、生吞活剝,窮源竟委、融會貫通,渾崙吞棗、渾掄吞棗、渾淪吞棗、鶻崙吞棗,主條成語
5,班門弄斧,ㄅㄢ　ㄇㄣˊ　ㄋㄨㄥˋ　ㄈㄨˇ,比喻在行家面前賣弄本事，不自量力。貶義。,布鼓雷門,,弄斧班門、班門取罪,主條成語
6,朝三暮四,ㄓㄠ　ㄙㄢ　ㄇㄨˋ　ㄙˋ,比喻心意不定、反覆無常。貶義。,反覆無常、出爾反爾、朝秦暮楚,一心一意、始終不渝、始終如一、堅定不移,暮四朝三、朝四暮三,主條成語
7,水落石出,ㄕㄨㄟˇ　ㄌㄨㄛˋ　ㄕˊ　ㄔㄨ,比喻事情經過澄清而後真相大白。,水清石見、真相大白,,水涸石出、水清石出,主條成語
8,名落孫山,ㄇㄧㄥˊ　ㄌㄨㄛˋ　ㄙㄨㄣ　ㄕㄢ,指應考不中。,榜上無名、曝鰓龍門,金榜題名、魚躍龍門、雁塔題名,孫山之外、孫山名落,主條成語
9,胸有成竹,ㄒㄩㄥ　ㄧㄡˇ　ㄔㄥˊ　ㄓㄨˊ,比喻處事有定見。,,不知所措、束手無策、無計可施,成竹在胸,主條成語
10,竭澤而漁,ㄐㄧㄝˊ　ㄗㄜˊ　ㄦˊ　ㄩˊ,比喻盡其所有，不留餘地。,殺雞取卵、焚林而獵,,乾澤而漁、涸水取魚、涸澤而漁、竭水搏魚,主條成語
11,指鹿為馬,ㄓˇ　ㄌㄨˋ　ㄨㄟˊ　ㄇㄚˇ,比喻人刻意混淆是非，顛倒黑白。,,循名責實,呼鹿為馬、妄指鹿馬、指鹿作馬、指鹿道馬、鑿空指鹿,主條成語
12,天衣無縫,ㄊㄧㄢ　ㄧ　ㄨˊ　ㄈㄥˋ,比喻詩文渾然天成，沒有斧鑿痕跡。褒義。＆比喻事物或計畫周密完美，沒有一絲破綻或缺點。褒義。,渾然一體、渾然天成,破綻百出、漏洞百出,無縫天衣,主條成語
